#########Metric: Response Time, minThreshold: 150, maxThreshold: 230##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	2	0	1
0	0	2	5	1
0	0	2	10	1
0	0	2	15	1
0	0	2	20	1
114	337	2	25	1
100	506	73	30	1
81	557	109	35	1
109	482	142	40	1
103	518	211	45	1
98	489	242	50	2
109	511	45	55	2
97	465	163	60	2
112	503	205	65	2
105	496	268	70	3
104	343	118	75	3
132	554	176	80	3
145	723	231	85	4
134	475	136	90	4
145	736	188	95	4
143	670	227	100	4
121	659	228	105	4
154	699	243	110	5
128	0	100	115	5
128	0	113	120	5
151	0	132	125	5
137	0	123	130	4
147	0	81	135	4
161	0	92	140	4
134	0	108	145	4
160	0	109	150	4
162	1	98	155	3
162	61	67	160	3
146	0	93	165	3
177	16	75	170	2
149	241	44	175	2
148	303	67	180	2
169	420	57	185	1
170	995	0	190	1
201	1014	83	195	1
214	970	119	200	1
209	1005	172	205	1
195	985	235	210	2
0	0	0	215	2
0	0	0	220	1
0	0	0	225	1
0	0	0	230	1
0	0	0	235	1
0	0	0	240	1
0	0	0	245	1
0	0	0	250	1
0	0	0	255	1
0	0	0	260	1
0	0	0	265	1
0	0	0	270	1
0	0	0	275	1
