#########Metric: Queue length, minThreshold: 10, maxThreshold: 400##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	28	0	1
122	563	59	15	2
96	480	78	30	3
93	445	90	45	4
111	180	96	60	4
162	705	102	75	5
134	367	99	90	5
136	642	102	105	6
171	136	101	120	6
228	390	107	135	6
94	464	102	150	7
158	47	101	165	7
63	0	102	180	6
99	0	100	195	5
107	187	99	210	5
110	237	102	225	5
155	623	102	240	6
154	127	101	255	6
132	35	102	270	6
140	237	102	285	6
114	227	102	300	6
63	0	102	315	5
123	143	99	330	5
128	163	102	345	5
69	138	102	360	5
165	446	102	375	6
136	105	100	390	6
158	29	102	405	6
188	344	102	420	6
41	166	102	435	6
102	0	102	450	5
113	169	99	465	5
97	180	102	480	5
61	136	102	495	5
124	496	102	510	6
138	147	101	525	6
142	112	102	540	6
121	434	102	555	7
97	15	100	570	7
118	24	102	585	7
102	5	102	600	6
143	14	100	615	6
124	18	102	630	6
126	12	103	645	6
121	7	102	660	5
126	476	99	675	6
121	2	101	690	5
120	160	99	705	5
85	78	102	720	5
120	112	102	735	5
118	150	102	750	5
101	22	103	765	5
0	0	102	780	4
0	0	0	795	3
0	0	0	810	2
0	0	0	825	1
