#########Metric: Queue length, minThreshold: 5, maxThreshold: 20##########
#Request Rate	Queuelength	Response Time	Time Elapsed	Num Servers
0	0	0	0	1
0	0	0	5	1
96	400	21	10	2
132	416	37	15	3
98	204	50	20	4
105	131	61	25	5
85	0	67	30	4
112	119	61	35	5
95	2	65	40	4
102	122	61	45	5
91	0	67	50	4
101	133	61	55	5
146	247	69	60	6
129	125	76	65	7
126	6	81	70	7
132	0	97	75	6
140	80	76	80	7
137	0	81	85	6
142	126	76	90	7
127	0	80	95	6
136	101	76	100	7
149	1	81	105	6
165	245	76	110	7
166	141	81	115	8
157	0	85	120	7
143	76	81	125	8
157	0	85	130	7
176	116	81	135	8
150	0	84	140	7
159	100	81	145	8
160	4	85	150	7
173	163	81	155	8
234	433	85	160	9
199	199	89	165	10
210	56	91	170	10
223	0	101	175	9
217	221	89	180	10
218	76	91	185	10
226	0	101	190	9
215	269	89	195	10
203	129	91	200	10
201	0	101	205	9
160	38	88	210	10
150	0	86	215	9
160	0	86	220	8
159	0	84	225	7
154	60	81	230	8
143	0	85	235	7
158	119	81	240	8
144	0	85	245	7
171	104	81	250	8
180	25	85	255	9
130	0	83	260	8
121	0	81	265	7
156	0	78	270	6
119	27	76	275	7
111	0	78	280	6
145	33	76	285	7
129	0	78	290	6
125	46	76	295	7
125	0	78	300	6
122	36	76	305	7
148	20	81	310	7
132	0	98	315	6
148	148	75	320	7
143	2	81	325	6
144	112	76	330	7
138	14	81	335	7
157	0	97	340	6
135	118	75	345	7
130	13	81	350	7
149	1	97	355	6
194	258	76	360	7
